s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,label
0.0463103,0.0458594,0.0454769,0.0451975,0.0451369,0.0438101,0.0423045,0.0408343,0.0399001,0.0392544,0.0386859,0.0394159,pucker
0.0486468,0.0480272,0.0477981,0.0467653,0.0454708,0.0436148,0.0419789,0.0403249,0.0396245,0.0387407,0.0384885,0.038308,pucker
0.0495395,0.048631,0.0488906,0.0488122,0.0468897,0.0433962,0.0409631,0.0395674,0.0396927,0.039785,0.0393442,0.0391728,pucker
0.043931,0.0431712,0.043319,0.0430452,0.0434964,0.0445246,0.0435492,0.0415613,0.0395228,0.0374912,0.0368833,0.0371401,pucker
0.0433339,0.0440842,0.0433027,0.0438728,0.0441724,0.0444432,0.0446428,0.0429169,0.0422939,0.0409242,0.0406667,0.0399529,pucker
0.0471153,0.0475547,0.0459557,0.04388,0.0418276,0.0391847,0.038919,0.0375362,0.0375978,0.0375796,0.0380476,0.0379212,pucker
0.0469392,0.0477716,0.047628,0.0468107,0.0442084,0.0418777,0.0404532,0.0382024,0.0387054,0.0380983,0.0378879,0.0371391,pucker
0.0478243,0.0479301,0.0492872,0.0487443,0.0461891,0.0432407,0.0406015,0.039825,0.0389316,0.0388868,0.0385336,0.0386077,pucker
0.0442306,0.0439138,0.044439,0.0450042,0.0443954,0.0426325,0.0417452,0.0398372,0.0385266,0.0383815,0.0385337,0.0379298,pucker
0.047678,0.0476886,0.0470478,0.0464502,0.0445074,0.0423378,0.040631,0.0386086,0.0382556,0.037712,0.0379357,0.037321,pucker
0.0497391,0.0511075,0.0509696,0.0486121,0.0470396,0.047016,0.0449902,0.0445218,0.0441009,0.0438375,0.0446931,0.0452675,pucker
0.0478284,0.0478797,0.0475294,0.0469591,0.0468273,0.0473676,0.0463626,0.0443105,0.0408901,0.0403483,0.039471,0.0386122,pucker
0.0468426,0.0452179,0.0424579,0.0410828,0.0388221,0.0378206,0.0375188,0.0379364,0.0381886,0.0389161,0.0383613,0.0378087,pucker
0.0485342,0.0483142,0.0478749,0.0478968,0.047719,0.045695,0.0435403,0.0419597,0.0400998,0.0391936,0.0384053,0.0384209,pucker
0.0497543,0.0504208,0.0499101,0.0495528,0.0479574,0.04625,0.0434995,0.0414736,0.0391398,0.0372578,0.0383335,0.0382923,pucker
0.0502249,0.0499607,0.0481005,0.0450517,0.0438073,0.0419508,0.0406814,0.0392674,0.0387276,0.0379208,0.037863,0.037197,pucker
0.0474282,0.0474693,0.0476889,0.0480018,0.0482138,0.0476377,0.0464706,0.0436572,0.0419238,0.0411349,0.0409313,0.0402866,pucker
0.048586,0.0496374,0.0493722,0.0501842,0.0499488,0.0497983,0.0490244,0.0467371,0.0440191,0.0421074,0.0406015,0.0400313,pucker
0.0514826,0.0517977,0.0504861,0.0489346,0.0459877,0.0437673,0.0414858,0.0406987,0.0396897,0.0397067,0.0402615,0.0397398,pucker
0.0502473,0.0489813,0.048083,0.0463626,0.0434103,0.0420601,0.0400507,0.0398625,0.0394451,0.0392491,0.0382927,0.0384351,pucker
0.0482382,0.0483157,0.0485754,0.0490296,0.0475073,0.0461736,0.0439229,0.0409288,0.0380961,0.0367722,0.0368073,0.0361485,pucker
0.0488044,0.0479015,0.0473387,0.0456836,0.0434448,0.0421909,0.0402374,0.0395263,0.0394373,0.0386501,0.0380467,0.0378112,pucker
0.0533987,0.0529944,0.050431,0.0501147,0.0486193,0.0455734,0.0429254,0.0408139,0.0403766,0.0392116,0.038525,0.0393939,pucker
0.0514943,0.0506718,0.0493612,0.0466673,0.0448115,0.0428133,0.0407194,0.0407861,0.0410508,0.0413635,0.0404736,0.0407542,pucker
0.0508951,0.0510058,0.0503105,0.0481424,0.0461948,0.0438249,0.041212,0.0395374,0.0382843,0.0370714,0.0371199,0.0372219,pucker
0.0409916,0.0419176,0.0419636,0.0424663,0.04221,0.0425745,0.042495,0.0430829,0.0427784,0.0429758,0.0431845,0.0435365,noPucker
0.0448639,0.0448531,0.0446934,0.0443908,0.0446638,0.0451578,0.0451701,0.0454838,0.0452785,0.0454602,0.046206,0.0455936,noPucker
0.0444189,0.0452076,0.0453902,0.0448408,0.044828,0.0461691,0.0459607,0.04596,0.0460918,0.0460503,0.0460572,0.0459511,noPucker
0.0471818,0.0471108,0.0466882,0.046576,0.0468771,0.047295,0.0477745,0.047701,0.0481895,0.0477893,0.0484247,0.0481698,noPucker
0.0446692,0.0451612,0.0450149,0.0446236,0.0444038,0.0443751,0.0448813,0.0452428,0.0450364,0.0453948,0.0452583,0.0457347,noPucker
0.0451416,0.0448582,0.045257,0.0450631,0.044747,0.0442086,0.0444525,0.0443937,0.044634,0.0447106,0.0450542,0.045368,noPucker
